address,city,zip,bedrooms,bathrooms,floor_size,lot_size,year_built,sale_date,sale_price
 25522 Donald Ave, Hayward,94544,2,1,924,"6,799 sqft",Built in 1960,"$2,600  /mo",
 Bennington LnIncomplete address or missing price?Sometimes listing partners send Zillow listings that do not include a full address or price.To get more details on this property, please contact the listing agent,None,3,2,1107,None,,"$3,000  /mo",
 1761 Dover Pl, Hayward,94541,2,2.5,1280,914 sqft,Built in 1978,"$3,000  /mo",
 927 Saint James Ct, Hayward,94541,2,1,1197,"3,201 sqft",Built in 1926,"$2,550  /mo",
None,None,None,None,None,None,None,,None,199900.0
None,None,None,None,None,None,None,,(9/29),175000.0
 7 Stirling Way, Hayward,94542,4,4.5,4674,None,,"$6,950  /mo",
None,None,None,None,None,None,"5,227 sqft",,Zestimate®,649000.0
None,None,None,None,None,None,None,,Zestimate®,749999.0
None,None,None,None,None,None,0.26 acres,,Zestimate®,788000.0
None,None,None,None,None,None,"4,521 sqft",,Zestimate®,599000.0
None,None,None,None,None,None,"5,401 sqft",,Zestimate®,618000.0
None,None,None,None,None,None,"5,487 sqft",,"$713,800",
 22034 Arbor Ave # 2, Hayward,94541,3,1.5,1000,None,,"$2,699  /mo",
None,None,None,None,None,None,"5,005 sqft",,Zestimate®,665000.0
 23031 Kingsford Way, Hayward,94541,3,3,1345,None,,"$2,900  /mo",
 25565 Spur Dr, Hayward,94541,4,4,2600,"6,534 sqft",Built in 1957,"$3,800  /mo",
 Bolero AveIncomplete address or missing price?Sometimes listing partners send Zillow listings that do not include a full address or price.To get more details on this property, please contact the listing agent,None,1,1,550,None,,"$1,550  /mo",
None,None,None,None,None,None,"5,000 sqft",,Zestimate®,660000.0
 25013 Cypress Ave APT 9, Hayward,94544,1,1,600,None,,"$1,795  /mo",
None,None,None,None,None,None,"5,248 sqft",,Zestimate®,599988.0
 1 bed, $1,None,1,1,--,None,,"$1,725  /mo",
None,None,None,None,None,None,"6,534 sqft",,None,185000.0
 662 Overhill Dr # A, Hayward,94544,2,1,1200,None,,"$2,500  /mo",
 31213 Tepic Pl # 33, Hayward,94544,3,2,1500,None,Built in 1981,"$3,395  /mo",
 Artistic PlIncomplete address or missing price?Sometimes listing partners send Zillow listings that do not include a full address or price.To get more details on this property, please contact the listing agent,None,3,3,1595,None,Built in 2004,"$3,250  /mo",
None,None,None,None,None,None,0.51 acres,,Zestimate®,1149950.0
None,None,None,None,None,None,"3,140 sqft",,None,808888.0
None,None,None,None,None,None,None,,None,209000.0
None,None,None,None,None,None,1.18 acres,,None,110000.0
None,None,None,None,None,None,"5,039 sqft",,Zestimate®,680000.0
None,None,None,None,None,None,"5,005 sqft",,(10/3),699950.0
None,None,None,None,None,None,None,,Zestimate®,329000.0
None,None,None,None,None,None,"9,204 sqft",,Zestimate®,1500000.0
None,None,None,None,None,None,"5,828 sqft",,Zestimate®,628888.0
None,None,None,None,None,None,0.28 acres,,Zestimate®,950000.0
None,None,None,None,None,None,0.48 acres,,(10/2),1299888.0
 25019 Pleasant Way, Hayward,94544,5,3,2700,None,,"$3,500  /mo",
 24817 Kay Ave, Hayward,94545,3,2,1200,"5,501 sqft",Built in 1959,"$3,150  /mo",
None,None,None,None,None,None,"5,000 sqft",,Zestimate®,558888.0
None,None,None,None,None,None,999 sqft,,Zestimate®,420000.0
 647 Denslowe Ln, Hayward,94544,4,3,1613,"5,039 sqft",Built in 1958,"$3,000  /mo",
None,None,None,None,None,None,1.19 acres,,Zestimate®,924999.0
None,None,None,None,None,None,"5,000 sqft",,Zestimate®,599000.0
None,None,None,None,None,None,"6,682 sqft",,None,769990.0
None,None,None,None,None,None,"5,309 sqft",,Zestimate®,699000.0
None,None,None,None,None,None,"8,276 sqft",,Foreclosure Estimate,
None,None,None,None,None,None,"6,534 sqft",,Foreclosure Estimate,
 22807 Paseo Pl, Hayward,94541,3,3,1595,None,,"$3,450  /mo",
None,None,None,None,None,None,None,,Zestimate®,425000.0
 24075 Quinn Ln, Hayward,94541,3,2,1232,None,,"$2,895  /mo",
None,None,None,None,None,None,"5,018 sqft",,Zestimate®,530000.0
None,None,None,None,None,None,0.28 acres,,Zestimate®,995000.0
 350 Smalley Ave APT 6, Hayward,94541,2,1.5,--,None,,"$2,095  /mo",
 29163 Dixon St APT 16, Hayward,94544,2,1,--,None,,"$1,995  /mo",
None,None,None,None,None,None,None,,None,
None,None,None,None,None,None,"6,030 sqft",,Zestimate®,558888.0
 21564 Meekland Ave APT 10, Hayward,94541,2,1.5,952,None,,"$2,295  /mo",
None,None,None,None,None,None,"5,998 sqft",,Zestimate®,640000.0
 671 Eastwood Way, Hayward,94544,3,2,1335,"5,749 sqft",Built in 1955,"$3,200  /mo",
None,None,None,None,None,None,None,,Zestimate®,350000.0
 Muir StIncomplete address or missing price?Sometimes listing partners send Zillow listings that do not include a full address or price.To get more details on this property, please contact the listing agent,None,Studio,1,260,None,,"$1,500  /mo",
None,None,None,None,None,None,0.94 acres,,Zestimate®,450000.0
 20938 Locust St APT 4, Hayward,94541,2,1,940,None,,"$1,995  /mo",
 La Paz WayIncomplete address or missing price?Sometimes listing partners send Zillow listings that do not include a full address or price.To get more details on this property, please contact the listing agent,None,2,2.5,--,None,,"$2,600  /mo",
 20630 Blossom Cmn, Hayward,94541,3,2.5,1560,"2,483 sqft",Built in 1998,"$3,000  /mo",
None,None,None,None,None,None,"5,227 sqft",,(10/1),649000.0
None,None,None,None,None,None,0.32 acres,,Zestimate®,579000.0
None,None,None,None,None,None,"8,664 sqft",,None,800000.0
None,None,None,None,None,None,"5,828 sqft",,Zestimate®,649950.0
 Vermont StIncomplete address or missing price?Sometimes listing partners send Zillow listings that do not include a full address or price.To get more details on this property, please contact the listing agent,None,3,1.5,--,None,,"$2,500  /mo",
 24410 Leona Dr, Hayward,94542,2,1,775,None,,"$1,895  /mo",
 25515 Del Mar Ave, Hayward,94542,1,1,--,None,,"$2,600  /mo",
 20903 Locust St APT D, Hayward,94541,2,1.5,1307,None,Built in 1980,"$2,395  /mo",
None,None,None,None,None,None,"6,398 sqft",,Zestimate®,649888.0
None,None,None,None,None,None,"5,005 sqft",,Zestimate®,712000.0
None,None,None,None,None,None,None,,None,
None,None,None,None,None,None,None,,None,
 21837 Meekland Ave, Hayward,94541,1,1,600,None,,"$1,600  /mo",
None,None,None,None,None,None,None,,None,172000.0
 155 Geneva Ave, Hayward,94544,3,2,1276,"5,100 sqft",Built in 1951,"$3,100  /mo",
None,None,None,None,None,None,"8,712 sqft",,None,899000.0
 29157 Marshbrook Dr, Hayward,94545,5,3,3457,None,,"$4,200  /mo",
 27746 Tampa Ave, Hayward,94544,3,1,1000,None,Built in 1954,"$2,795  /mo",
None,None,None,None,None,None,None,,(10/2),599950.0
None,None,None,None,None,None,"7,405 sqft",,Zestimate®,1698888.0
 26438 Hickory Ave, Hayward,94544,3,1,1059,None,,"$2,795  /mo",
None,None,None,None,None,None,0.36 acres,,None,799000.0
None,None,None,None,None,None,0.3 acres,,Zestimate®,1248888.0
None,None,None,None,None,None,None,,Zestimate®,450000.0
 24072 Edloe Dr, Hayward,94541,3,1,1052,None,,"$2,550  /mo",
None,None,None,None,None,None,None,,Zestimate®,1260880.0
None,None,None,None,None,None,None,,None,
